코드값,코드값의미
UQT999,기타도시공간시설
UQU000,유통및공급시설미분류
UQU100,시장
UQU110,대규모점포및정기시장
UQU111,대규모점포
UQU112,임시시장
UQU120,농수산물도매시장
UQU130,농수산물공판장및농수산물종합유통센터
UQU131,농수산물공판장
UQU132,농수산물종합유통센터
UQU140,가축시장
UQU199,기타시장시설
UQU200,유통업무설비
UQU210,일반물류단지
UQU290,기타유통업무설비
UQU300,수도공급설비
UQU310,취수시설
UQU320,저수시설
UQU330,정수시설
UQU340,배수시설
UQU350,전용관로상의도수시설및송수시설
UQU390,기타수도공급설비
UQU400,공동구
UQU490,기타공동구시설
UQU500,전기공급설비
UQU510,발전시설
UQU520,변전시설
UQU530,송전선로
UQU540,배전사업소
UQU590,기타전기공급설비
UQU600,가스공급설비
UQU610,고압가스저장소
UQU620,액화석유가스충전시설
UQU630,가스공급시설
UQU690,기타가스공급설비
UQU700,열공급설비
UQU710,열원시설
UQU720,열수송시설
UQU790,기타열공급설비
UQU800,유류저장및송유설비
UQU810,석유비축저장시설
UQU820,송유관
UQU830,유류저장소
UQU840,송유시설
UQU890,기타유류저장및송유설비
UQU900,방송통신시설
UQU910,무선설비
UQU920,사업용전기통신설비
UQU930,유선방송국설비
UQU990,기타방송통신시설
UQU999,기타유통및공급시설
UQV000,공공문화체육시설미분류
UQV200,공공청사
UQV210,청사
UQV220,공관
UQV230,교정시설
UQV231,교도소
UQV232,구치소
UQV233,소년원
UQV234,소년분류심사원
UQV290,기타공공청사시설
UQV300,학교
UQV310,유치원
UQV320,초등학교
UQV330,중학교
UQV340,고등학교
UQV350,대학
UQV390,기타학교시설
UQV400,도서관
UQV410,공공도서관
UQV420,전문도서관
UQV430,특수도서관
UQV490,기타도서관시설
UQV500,연구시설
UQV590,기타연구시설
UQV600,문화시설
UQV610,공연장
UQV620,박물관
UQV630,미술관
UQV640,문화산업진흥시설
UQV650,문화산업단지
UQV660,과학관
UQV690,기타문화시설
UQV700,사회복지시설
UQV709,기타사회복지시설
UQV750,공공직업훈련시설
UQV759,기타공공직업훈련시설
UQV800,체육시설
UQV810,공공체육시설
UQV820,골프장
UQV830,스키장
UQV840,종합운동장
UQV850,기타운동장시설
UQV890,기타체육시설
UQV910,청소년수련시설
UQV990,기타청소년수련시설
UQV999,기타공공문화복지시설
UQW000,방재시설미분류
UQW100,하천
UQW101,운하
UQW110,국가하천
UQW120,지방1급하천
UQW130,지방2급하천
UQW140,소하천
UQW190,기타하천시설
UQW199,기타운하시설
UQW200,저수지
UQW210,댐
UQW220,제방
UQW290,기타저수지시설
UQW300,방풍설비
UQW310,방풍림시설
UQW320,방풍담장시설
UQW330,방풍망시설
UQW390,기타방풍설비
UQW400,방수설비
UQW410,배수시설
UQW420,방수시설
UQW490,기타방수설비
UQW500,방화설비
UQW510,소방용수시설
UQW590,기타방화설비
UQW600,사방설비
UQW610,사방시설
UQW690,기타사방설비
UQW700,방조설비
UQW710,방조제
UQW790,기타방조설비
UQW800,유수지
UQW810,유수시설
UQW820,저류시설
UQW890,기타유수지시설
UQW999,기타도시방재시설
UQX000,보건위생시설미분류
UQX100,도축장
UQX190,기타도축장시설
UQX500,종합의료시설
UQX510,종합병원
UQX590,기타종합의료시설
UQX800,장사시설
UQX805,국립묘지
UQX810,공설묘지
UQX815,사설묘지
UQX820,기타공동묘지시설
UQX825,공설화장시설
UQX830,사설화장시설
UQX835,기타화장시설
UQX840,장례식장
UQX845,기타장례식장시설
UQX850,봉안시설
UQX855,공설봉안시설
UQX860,사설봉안시설
UQX865,기타봉안시설
UQX870,공설자연장지
UQX875,법인등자연장지
UQX999,기타보건위생시설
UQY000,국토계획환경기초시설미분류
UQY100,하수도
UQY110,공공하수도중간선하수관로
UQY120,공공하수처리시설
UQY190,기타하수도시설
UQY200,폐기물처리및재활용시설
UQY210,광역폐기물처리시설
UQY220,재활용시설
UQY290,기타폐기물처리시설
UQY300,수질오염방지시설
UQY310,공공폐수처리시설
UQY320,폐수수탁처리업시설
UQY330,분뇨처리시설
UQY340,가축분뇨공공처리시설
UQY350,폐광폐수처리시설
UQY390,기타수질오염방지시설
UQY400,폐차장
UQY490,기타폐차장시설
UQY999,기타환경기초시설
UQZ000,기타용도지역지구미분류
UQZ999,기타용도지역지구기타
ZA0001,시계(市界)경관지구
ZA0002,문화재주변경관지구
ZA0003,조망경관지구
ZA0004,보행우선지구
ZA0005,사적건축물보전지구
ZA0006,역사문화환경보존지역
ZA0008,조망가로미관지구
ZA0009,학교이적지
ZA0010,사고지
ZA0011,비오톱1등급
ZA0013,건축선
ZA0014,역사도심
ZA0104,역사문화특화경관지구
ZA0105,조망가로특화경관지구
ZA0106,수변특화경관지구
ZA1101,원형보존지
ZB0001,숙박시설제한지구
ZB0002,위락시설제한지구
ZB0003,위험물저장및처리시설제한지구
ZB0004,문화재보존영향 검토대상구역
ZB0005,도시계획시설이적지
